Федеральный	Rutaxi	0585
Федеральный	Rutaxi	0512
Москва	2412	74997692412
Москва	Командир	74959888888
Москва	СityMobil	74955005050
Москва	Nexi	74959330303
Москва	Rutaxi	74959099090
Москва	Rutaxi	74952800800
Москва	Максим	74955055555
Москва	Максим	74955042222
Москва	Мостакси	74955404040
Москва	Формула такси	74957775777
Москва	Новое желтое	74959408888
Москва	Red Taxi	74955555555
Санкт-Петербург	Rutaxi	78123180318
Санкт-Петербург	Таксовичкоф	78123330000
Санкт-Петербург	68	78123247777
Санкт-Петербург	777	78127771777
Санкт-Петербург	5 миллионов	78124040404
Санкт-Петербург	6 миллионов	78126000000
Санкт-Петербург	4 миллиона	78124000000
Волгоград	Rutaxi	78442666666
Волгоград	Rutaxi	78442241124
Волгоград	Сатурн	78442400400
Волгоград	Сатурн	79195400400
Волгоград	Максим	78442500000
Волгоград	Максим	78442300000
Екатеринбург	Три десятки	73433101010
Екатеринбург	Автомиг	73432222222
Екатеринбург	Автомиг	79223450450
Екатеринбург	Rutaxi	73433800000
Екатеринбург	Максим	73432888888
Екатеринбург	Три девятки	73433090909
Екатеринбург	Три лимона	73433000000
Екатеринбург	Ноль один	73433010101
Екатеринбург	Ноль семь	73433070707
Екатеринбург	Нон стоп	73432700000
Екатеринбург	Скай	73432388888
Екатеринбург	Делюкс	73433303030
Нижний Новгород	Сатурн	79200077777
Нижний Новгород	Сатурн	78312434343
Нижний Новгород	Rutaxi	78312155555
Нижний Новгород	Rutaxi	78312610101
Нижний Новгород	Максим	78312120000
Нижний Новгород	Гармония	78312913329
Нижний Новгород	Трансфер Плюс	78312917323
Нижний Новгород	Статус	78312835935
Нижний Новгород	Для Вас	78312350504
Нижний Новгород	Центральное	78312900900
Нижний Новгород	Нижегородское	78312915262
Нижний Новгород	Нижегородец	78312002222
Ростов-на-Дону	Максим	78633333333
Ростов-на-Дону	Rutaxi	78632075555
Ростов-на-Дону	Сатурн	78632227222
Ростов-на-Дону	Белое	78632306306
Ростов-на-Дону	Rutaxi	78632075555
Ростов-на-Дону	Rutaxi	78633050505
Владивосток	Восток	74232333777
Владивосток	Максим	74232888888
Владивосток	Поехали	74232000222
Владивосток	Rutaxi	74232787878
Владивосток	Сатурн	74232500500
Киров	Сатурн	78332412411
Киров	Сатурн	78332207207
Киров	Сатурн	78332208208
Киров	Сатурн	78332208209
Киров	Rutaxi	78332300300
Киров	Rutaxi	78332750000
Киров	700700	78332700700
Киров	Максим	78332333333
Киров	Дилижанс	78332341134
Ярославль	Сатурн	74852999999
Ярославль	Сатурн	79109738999
Ярославль	Rutaxi	74852777666
Ярославль	Rutaxi	74852370073
Ярославль	Максим	74852666666
Казань	Сатурн	78435671567
Казань	Максим	78432332222
Казань	Максим	78432333333
Казань	Rutaxi	78432300000
Чебоксары	Катюша	78352525252
Чебоксары	Сатурн	79373970000
Чебоксары	Сатурн	78352250000
Чебоксары	Максим	78352400400
Чебоксары	Максим	78352322222
Чебоксары	Rutaxi	78352656565
Чебоксары	Rutaxi	78352373373
Набережные Челны	Пять Девяток	78552599999
Набережные Челны	Пять Девяток	78552910910
Набережные Челны	Омега	78552999999
Набережные Челны	Камилла	78552255555
Набережные Челны	Максим	78552555555
Набережные Челны	Rutaxi	78552921010
Набережные Челны	Rutaxi	78552251010
Набережные Челны	Rutaxi	78552409040
Ульяновск	Левый берег	78422955555
Ульяновск	Максим	78422222222
Ульяновск	Rutaxi	78422242424
Ульяновск	Онлайн	78422230230
Владикавказ	Максим	78672333333
Владикавказ	Шесть Четверок	78672444444
Владикавказ	Максима	78672575575
Владикавказ	Максима	78672404400
Владикавказ	Максима	78672404545
Владикавказ	444222	78672444222
Владикавказ	Гермес	78672403030
Владикавказ	Гермес	78672300003
Владикавказ	Алекс	78672200000
Владикавказ	Feb	78672700600
Владикавказ	Скала	78672777777
Владикавказ	Скала	78672707777
Владикавказ	Скала	78672577777
Владикавказ	Эконом	78672404040
Владикавказ	Эконом	78672552255
Владикавказ	Rutaxi	78672514455
Владикавказ	Rutaxi	78672300068
Владикавказ	Позитив	78672405040
Владикавказ	Позитив	78672025000
Владикавказ	Рола	78672528080
Владикавказ	Рола	78672524345
Владикавказ	Рола	78672555554
Новокузнецк	Новокузнецкое	73843710061
Новокузнецк	Новокузнецкое	73843320000
Новокузнецк	Здравствуйте	73843777777
Новокузнецк	Rutaxi	73854561111
Новокузнецк	Rutaxi	73843222220
Новокузнецк	Максим	73843222222
Новокузнецк	Вези	73843533333
Ставрополь	Максим	78652999999
Ставрополь	Максим	78652333555
Ставрополь	Red Taxi	79187555555
Ставрополь	Пчёлка	78652553553
Ставрополь	Пчёлка	79624225555
Ставрополь	Пчёлка	79188625555
Ставрополь	Поехали	78652999000
Ставрополь	Поехали	78652333933
Самара	Rutaxi	78463022222
Самара	Самара	78462012121
Самара	Браво	78462202020
Краснодар	Сатурн	78612220222
Краснодар	Сатурн	79182220222
Краснодар	Rutaxi	78612166666
Краснодар	Rutaxi	78612244222
Тула	Максим	74872707070
Тула	Единая служба	74872350350
Тула	Единая служба	74872777777
Тула	Единая служба	74872316316
Тула	Единая служба	74872340340
Тула	Единая служба	74872717171
Тула	Гарант	74872281515
Тула	Гарант	79539594646
Тула	555555	74872555555
Тула	555555	74872334433
Тула	555555	74872303030
